slug,name_fa,description,category,phone,address,city,google_review_url,listing_title,price_range,cta,hours_json,gallery_json,cover_image_url,subtitle,package,listing_approval,claimed
restaurant-safra,رستوران نمونه,ارائه انواع غذاهای اصیل ایرانی شامل کباب، برنج زعفرانی و خورشت‌های سنتی در محیطی گرم و صمیمی.,رستوران,+442089495974,"103 High St, New Malden, London",London,https://www.google.com/maps/search/?api=1&query=103+High+St+New+Malden+London,رستوران ایرانی اصیل در لندن,£20-30,رزرو کنید,"[{""day"":""شنبه"",""hours"":""۱۲:۰۰–۲۳:۰۰""},{""day"":""یکشنبه"",""hours"":""۱۲:۰۰–۲۲:۰۰""},{""day"":""دوشنبه"",""hours"":""۱۲:۰۰–۲۳:۰۰""},{""day"":""سه‌شنبه"",""hours"":""۱۲:۰۰–۲۳:۰۰""},{""day"":""چهارشنبه"",""hours"":""۱۲:۰۰–۲۳:۰۰""},{""day"":""پنج‌شنبه"",""hours"":""۱۲:۰۰–۲۳:۰۰""},{""day"":""جمعه"",""hours"":""۱۴:۰۰–۲۳:۰۰""}]","[""https://cdn-ilddbfn.nitrocdn.com/vvKQiDWquayItEUCToDCuOIfmnwLKJkT/assets/images/optimized/rev-0651a65/rexpastry.co.uk/wp-content/uploads/2025/03/Service-nuts.jpg"",""https://cdn-ilddbfn.nitrocdn.com/vvKQiDWquayItEUCToDCuOIfmnwLKJkT/assets/images/optimized/rev-0651a65/rexpastry.co.uk/wp-content/uploads/2025/03/Service-nuts.jpg"",""https://cdn-ilddbfn.nitrocdn.com/vvKQiDWquayItEUCToDCuOIfmnwLKJkT/assets/images/optimized/rev-0651a65/rexpastry.co.uk/wp-content/uploads/2025/03/Service-nuts.jpg"",""https://cdn-ilddbfn.nitrocdn.com/vvKQiDWquayItEUCToDCuOIfmnwLKJkT/assets/images/optimized/rev-0651a65/rexpastry.co.uk/wp-content/uploads/2025/03/Service-nuts.jpg""]",https://cdn-ilddbfn.nitrocdn.com/vvKQiDWquayItEUCToDCuOIfmnwLKJkT/assets/images/optimized/rev-0651a65/rexpastry.co.uk/wp-content/uploads/2025/03/Service-nuts.jpg,,featured,approved,1
clinic-pars,کلینیک پارس,نوبت آنلاین و حضوری، خدمات خانواده.,سلامت,+44 20 0000 0001,لندن,,https://www.google.com/maps,,,,"[{""day"":""شنبه"",""hours"":""۱۲:۰۰–۲۳:۰۰""},{""day"":""یکشنبه"",""hours"":""۱۲:۰۰–۲۲:۰۰""},{""day"":""دوشنبه"",""hours"":""۱۲:۰۰–۲۳:۰۰""},{""day"":""سه‌شنبه"",""hours"":""۱۲:۰۰–۲۳:۰۰""},{""day"":""چهارشنبه"",""hours"":""۱۲:۰۰–۲۳:۰۰""},{""day"":""پنج‌شنبه"",""hours"":""۱۲:۰۰–۲۳:۰۰""},{""day"":""جمعه"",""hours"":""۱۴:۰۰–۲۳:۰۰""}]","["""","""","""",""""]",,پزشک عمومی و واکسن — Manchester,featured,approved,1
supermarket-barakat,سوپرمارکت برکت,مواد غذایی و محصولات ایرانی.,خرده‌فروشی,+44 20 0000 0002,منچستر,test,,,,reserver,"[{""day"":""شنبه"",""hours"":""۱۲:۰۰–۲۳:۰۰""},{""day"":""یکشنبه"",""hours"":""۱۲:۰۰–۲۲:۰۰""},{""day"":""دوشنبه"",""hours"":""۱۲:۰۰–۲۳:۰۰""},{""day"":""سه‌شنبه"",""hours"":""۱۲:۰۰–۲۳:۰۰""},{""day"":""چهارشنبه"",""hours"":""۱۲:۰۰–۲۳:۰۰""},{""day"":""پنج‌شنبه"",""hours"":""۱۲:۰۰–۲۳:۰۰""},{""day"":""جمعه"",""hours"":""۱۴:۰۰–۲۳:۰۰""}]","["""","""","""",""""]",,,basic,approved,0
iu-00000007,کارمن صفوی - وکیل,کارمن صفوی (Carmen Safavi) وکیل دادگستری و مشاور ارشد در تیم قراردادهای تجاری و\nفناوری در دفتر حقوقی Browne Jacobson LLP در لندن است. او در زمینه‌ی مشاوره و\nتنظیم قراردادهای تجاری و برون‌سپاری در صنایع مختلف، با تمرکز ویژه بر خدمات مالی،\nفناوری و مقررات ESG فعالیت می‌کند.\n\n\nخدمات و سرویس‌ها\n\nمشاوره در قراردادهای تأمین خدمات و همکاری با تأمین‌کنندگان، قراردادهای فناوری و\nبرون‌سپاری، تنظیم چارچوب‌های همکاری بین کسب‌وکارها، بررسی تبعات حقوقی و مقرراتی\nزنجیره تأمین، و همراهی شرکت‌ها در تطبیق با الزامات گزارش‌دهی انتشار گازهای\nگلخانه‌ای (Scope 3) و سیاست‌های ESG.\nاو با مشتریان داخلی و بین‌المللی در بخش‌های قانون‌مند و غیرقانون‌مند همکاری\nمی‌کند.\n\n\nویژگی‌های برجسته\n\nتجربه فعالیت هم در نقش وکیل داخلی (In-house) و هم در شرکت‌های حقوقی به او درک\nعملی از ساختار، نیازها و فرآیندهای سازمانی داده است. توانایی او در مدیریت\nپروژه‌های چندکشوری، همکاری اثربخش با ذینفعان، و ایجاد ارتباطات بلندمدت با\nمشتریان از ویژگی‌های کلیدی در رویکرد کاری اوست.\n\n\nامکانات و دسترسی‌ها\n\nایستگاه متروی Liverpool Street و ایستگاه Aldgate هر دو در فاصله‌ی کوتاه\nپیاده‌روی قرار دارند.\nپارکینگ خیابانی و پارکینگ‌های عمومی در نزدیکی ساختمان قابل استفاده هستند اما\nمحدود و همراه با پرداخت هزینه.\n\n\nآنچه باید بدانید\n\nکارمن صفوی دارای پروانه فعال و تحت نظارت SRA است و تجربه‌ی قابل‌توجهی در مشاوره\nحقوقی مرتبط با زنجیره تأمین، تنظیم قراردادهای فناوری و انطباق با الزامات ESG\nدارد.\nSRA Number: 638218\nتاریخ پذیرش: 15/10/2018\n\n\nآدرس\n\nدفتر حقوقی براون جیکوبسون (Browne Jacobson LLP) در طبقه پانزدهم، ساختمان شماره 6\nبیویس مارکس (Bevis Marks)، محله‌ی City در منطقه‌ی City of London، مرکز لندن\n(Central London) واقع شده است. برای مشاهده‌ی مسیر دقیق، به بخش نقشه و مسیر‌یابی\nهمین صفحه مراجعه کنید.,وکیل,03702706000,"15th Floor, 6 Bevis Marks, London EC3A 7BA, EC3A 7BA",City of London,"https://www.google.com/maps/dir/?api=1&destination=51.5148622,-0.0795757&travelmode=driving",کارمن صفوی - وکیل,,,"{""sat"": ""شنبه تعطیل است"", ""sun"": ""یکشنبه تعطیل است"", ""mon"": ""دوشنبه 10:00 AM - 05:00 PM"", ""tue"": ""سه‌شنبه 10:00 AM - 05:00 PM"", ""wed"": ""چهارشنبه 10:00 AM - 05:00 PM"", ""thu"": ""پنجشنبه 10:00 AM - 05:00 PM"", ""fri"": ""جمعه 10:00 AM - 05:00 PM""}",,,,basic,approved,0
iu-00000008,محمد هوشی - وکیل,محمد هوشی، شریک حقوقی در شرکت حقوقی Sabeers Stone Greene LLP در لندن است. او از\nسال ۱۹۹۹ به‌عنوان وکیل دادگاه عالی انگلستان فعالیت می‌کند و بیش از دو دهه تجربه\nتخصصی در زمینه‌های مهاجرت، پناهندگی، تابعیت و حقوق بشر دارد.\n\n\nخدمات و سرویس‌ها\n\nمحمد خدمات گسترده‌ای در حوزه‌های زیر ارائه می‌دهد:\n\n * رسیدگی به پرونده‌های پناهندگی و مهاجرت\n\n * دعاوی مرتبط با حقوق بشر و ملیت\n\n * مشاوره و نمایندگی در امور تجدیدنظرخواهی\n\n * دفاع و وکالت در دادگاه‌ها و دادگاه‌های عالی مهاجرت\n\n\nویژگی‌های برجسته\n\nمحمد به‌عنوان وکیل دادگاه، طی ۱۴ سال گذشته شخصاً در دادگاه‌های تجدیدنظر\n(First-tier و Upper Tribunals) در شهرهای مختلف بریتانیا از جمله لندن، منچستر،\nگلاسگو، بیرمنگام و نیوپورت دفاع کرده است. او همچنین سابقه تأسیس دفتر مستقل حقوقی\nدر سال ۲۰۰۳ و فعالیت به‌عنوان وکیل مستقل تا سال ۲۰۰۹ را دارد.\n\n\nامکانات و دسترسی‌ها\n\nدفتر او در خیابان Mayfair Place در قلب منطقه Mayfair لندن واقع شده که دسترسی\nآسانی به سیستم حمل‌ونقل عمومی و مراکز حقوقی و تجاری فراهم می‌کند.\n\n\nآنچه باید بدانید\n\nمحمد علاوه بر تجربه‌ی حقوقی گسترده، سابقه فعالیت اجتماعی نیز دارد. او بیش از ۱۰\nسال رئیس «مرکز جامعه ایرانیان» بوده و عضو کمیته مدیریت و خزانه‌دار «انجمن\nبین‌المللی وکلای مردم» (IAPL) است. همچنین به‌عنوان جمع‌آوری‌کننده کمک مالی برای\nبنیاد حمایت از قربانیان شکنجه در دهه ۹۰ میلادی فعالیت داشته است.\nاو مسلط به زبان‌های فارسی، انگلیسی و کردی است و این ویژگی او را برای موکلان\nچندزبانه و جوامع مهاجر ارزشمند می‌سازد.\n\n\nآدرس\n\nمحمد هوشی در ساختمان Mayfair Place، محله‌ی Mayfair، منطقه‌ی مرکزی لندن (Central\nLondon) مستقر است.,وکیل,02032057088,"1 Mayfair Pl, London W1J 8AJ, W1J 8AJ",City of Westminster,"https://www.google.com/maps/dir/?api=1&destination=51.5071907,-0.1430229&travelmode=driving",محمد هوشی - وکیل,,,"{""sat"": ""شنبه تعطیل است"", ""sun"": ""یکشنبه تعطیل است"", ""mon"": ""دوشنبه 09:30 AM - 05:30 PM"", ""tue"": ""سه‌شنبه 09:30 AM - 05:30 PM"", ""wed"": ""چهارشنبه 09:30 AM - 05:30 PM"", ""thu"": ""پنجشنبه 09:30 AM - 05:30 PM"", ""fri"": ""جمعه 09:30 AM - 05:30 PM""}",,,,basic,approved,0
iu-00000009,رستوران جاده ابریشم - سیلک,رستوران جاده ابریشم یا همان سیلک رود فلِیورز (Silk Road Flavours) در خیابان\nMunster، محله‌ی فولام (Fulham)، منطقه‌ی مرکز لندن (Central London) قرار دارد.\nاین رستوران با الهام از فرهنگ غذایی مسیر تاریخی جاده ابریشم، ترکیبی جذاب از\nطعم‌های ایرانی و افغانی را در فضایی زیبا و دوستانه ارائه می‌دهد.\n\n\nخدمات و سرویس‌ها\n\nرستوران جاده ابریشم برای وعده‌های ناهار و شام آماده خدمت‌رسانی است و خدمات صرف\nغذا در محل، سفارش بیرون‎‌بر، تحویل و امکان رزرو میز را ارائه می‌دهد.\n\nساعات کاری: همه‌روزه از ساعت ۱۲ ظهر تا ۱۱ شب.\n\n\nویژگی‌های برجسته\n\nمنوی محبوب شامل خورش‌های اصیل مثل قورمه‌سبزی، فسنجان و خورش بامیه، همراه با\nکباب‌های متنوع مثل باختیاری، جوجه، برگ، شیشلیک و چنجه است. این غذاها با استفاده\nاز مواد تازه و دستورهای اصیل سرو می‌شوند. مهمانان اغلب به طعم دقیق، حجم\nرضایت‌بخش وعده‌ها و خدمات گرم و مهمان‌نواز اشاره کرده‌اند.\n\n\nامکانات و دسترسی‌ها\n\nاین رستوران در نزدیکی ایستگاه‌های Overground فولام و خطوط اتوبوس محلی قرار دارد\nو دسترسی آن از طریق حمل‌ونقل عمومی بسیار آسان است. فضای داخلی دنج و دکور گرم آن\nایجاد فضایی دلنشین و آرام برای صرف غذا کرده و حتی پارکینگ خیابانی در اطراف برای\nراحتی مراجعه‌کنندگان در دسترس است.\n\n\nنظرات کاربران\n\nبر اساس مجموعه نظرات ثبت شده، «رستوران جاده ابریشم» امتیاز بسیار بالایی دریافت\nکرده و تصویر کلی کاربران از یک رستوران با فضای آرام، طراحی داخلی دلنشین و حس قوی\nمهمان نوازی حکایت دارد. در بازخوردهای پرتکرار، از برخورد دوستانه و حرفه ای تیم\nیاد شده و در چند نظر به نام برخی اعضای کارکنان اشاره شده است که نشان می دهد\nتعامل شخصی برای بسیاری از مشتریان نقش پررنگی داشته است.\n\nدر بخش غذا، الگوهای تکرارشونده بر کیفیت مواد اولیه، طعم اصیل و دقت در پخت تمرکز\nدارد. کاربران از انواع گریل و کباب ها، به ویژه کوبیده و جوجه، ته دیگ همراه با\nقورمه سبزی، کشک بادمجان و نیز دامپلینگ های افغانی مانند منتو و آشک به عنوان\nانتخاب های محبوب نام برده اند. در کنار غذا، تعدادی از بازخوردها به نوشیدنی ها و\nمناسب بودن فضا برای دورهمی ها و مناسبت ها اشاره کرده اند که این رستوران را برای\nجشن ها و حتی مهمانی های کاری گزینه مطلوبی معرفی می کند.\n\nدر کنار این تصویر بسیار مثبت، در بخش کوچکتری از نظرات به تجربه هایی اشاره شده که\nبا انتظار همه مشتریان همخوانی نداشته است. برای مثال در یک بازخورد، پس از سفارش\nیک پلیت اشتراکی، تجربه نامطلوبی گزارش شده و در نظر دیگری نیز برداشت متفاوتی نسبت\nبه تغییرات در دوره های زمانی مختلف مطرح شده است. این موارد به عنوان تجربه های\nشخصی بیان شده و امکان تعمیم آنها به همه مراجعات وجود ندارد.\n\nدر جمع بندی، از نگاه کاربران، جاده ابریشم به طور غالب به خاطر کیفیت بالای غذا،\nسرویس گرم و فضای دلنشین توصیه می شود. در عین حال، وجود معدودی بازخورد متفاوت\nنشان می دهد که توجه مستمر به یکنواختی کیفیت در گذر زمان می تواند به حفظ این\nتصویر مثبت کمک کند.\n\n\nآنچه باید بدانید\n\nسیلک رود فلِیورز رستورانت یکی از انتخاب‌های محبوب در بین علاقه‌مندان به آشپزی\nایرانی و افغانی در لندن است. قیمت‌ها در بازه‌ای متوسط تا بالا قرار دارند، اما\nکیفیت غذا و تجربه مناسب است. در آخر هفته‌ها یا ساعات شلوغ، رزرو یا حضور زودهنگام\nتوصیه می‌شود.\n\n\nآدرس\n\nرستوران جاده ابریشم در 238–240 خیابان Munster Road، محله‌ی فولام (Fulham)،\nمنطقه‌ی مرکز لندن (Central London) واقع شده است.,رستوران,02033363695,"238–240 Munster Road, Fulham, London SW6 6BA, SW6 6BA",Hammersmith and Fulham,"https://www.google.com/maps/dir/?api=1&destination=51.4798531,-0.2143241&travelmode=driving",رستوران جاده ابریشم - سیلک,,,"{""sat"": ""شنبه 12:00 PM - 11:30 PM"", ""sun"": ""یکشنبه 12:00 PM - 11:00 PM"", ""mon"": ""دوشنبه 05:00 PM - 11:00 PM"", ""tue"": ""سه‌شنبه 05:00 PM - 11:00 PM"", ""wed"": ""چهارشنبه 05:00 PM - 11:00 PM"", ""thu"": ""پنجشنبه 05:00 PM - 11:00 PM"", ""fri"": ""جمعه 05:00 PM - 11:30 PM""}",,,,basic,approved,0
iu-00000010,دکتر حسن کفیل - دندانپزشک,دکتر حسن کفیل (Dr Hassan Kafil) دندان‌پزشک ثبت‌شده در شورای دندان‌پزشکی بریتانیا\nبا شماره عضویت 71992 هستند. ایشان در سال 1996 مدرک دندان‌پزشکی (Tandläkare Lund)\nخود را از دانشگاه لوند (Lund University) در سوئد دریافت کردند و از تاریخ 5 ژوئیه\n1996 به‌صورت رسمی در GDC ثبت شده‌اند. دکتر کفیل هم‌اکنون در کلینیک N12 Dental\nCare واقع در High Road، محله‌ی فینچلی شمالی در شمال لندن فعالیت دارند و خدمات\nعمومی و زیبایی دندان‌پزشکی را به بیماران ارائه می‌دهند.\n\n\nخدمات و سرویس‌ها\n\nخدمات ایشان شامل دندان‌پزشکی عمومی، ترمیمی، پروتزهای دندانی، ایمپلنت، باندینگ،\nسفید کردن دندان و درمان‌های پیشگیرانه است. ساعات کاری کلینیک منعطف بوده و امکان\nمراجعه آسان برای بیماران در طول هفته فراهم است.\n\n\nویژگی‌های برجسته\n\nدکتر کفیل با تجربه بین‌المللی و بیش از دو دهه فعالیت در بریتانیا، به دلیل دقت\nبالا، مهارت علمی و برخورد حرفه‌ای در میان بیماران شناخته می‌شوند. بازخورد\nمراجعان نشان می‌دهد که ایشان در توضیح شفاف مراحل درمان، ارائه نتایج طبیعی و\nایجاد فضایی آرام برای بیماران بسیار موفق عمل می‌کنند.\n\n\nامکانات و دسترسی‌ها\n\nکلینیک N12 Dental Care در خیابان High Road در فینچلی شمالی واقع شده و دسترسی\nآسانی به خطوط مترو و اتوبوس دارد. موقعیت این مرکز در شمال لندن آن را به گزینه‌ای\nمناسب برای ساکنان محلی و مناطق اطراف تبدیل کرده است. فضای داخلی مدرن، بهداشتی و\nطراحی آرامش‌بخش، محیطی مطمئن و راحت برای بیماران فراهم می‌کند.\n\n\nآنچه باید بدانید\n\nتمرکز کاری دکتر کفیل بر ارائه درمان‌های شخصی‌سازی‌شده و دقیق است که هدف آن ایجاد\nلبخندی سالم، طبیعی و ماندگار برای بیماران است.\n\n\nآدرس\n\nدکتر حسن کفیل در کلینیک N12 Dental Care واقع در محله‌ی فینچلی شمالی (North\nFinchley)، منطقه‌ی شمال لندن (North London)، مشغول فعالیت هستند.,دندانپزشک,02084929710,"753 High Rd, London N12 8LG, N12 8LG",Barnet,"https://www.google.com/maps/dir/?api=1&destination=51.614518,-0.176932&travelmode=driving",دکتر حسن کفیل - دندانپزشک,,,"{""sat"": ""شنبه تعطیل است"", ""sun"": ""یکشنبه تعطیل است"", ""mon"": ""دوشنبه 08:30 AM - 05:00 PM"", ""tue"": ""سه‌شنبه 08:30 AM - 05:00 PM"", ""wed"": ""چهارشنبه 08:30 AM - 05:00 PM"", ""thu"": ""پنجشنبه 08:30 AM - 05:00 PM"", ""fri"": ""جمعه 08:30 AM - 05:00 PM""}",,,,basic,approved,0
iu-00000011,دکتر رهام بارز - دندانپزشک,دکتر رهام بارز (Dr Roham Barez) دندان‌پزشک اصلی و مدیر کلینیک The Dental Gallery\nدر ایلبینگ (Ealing)، غرب لندن است. ایشان با شماره ثبت 79928 در شورای دندان‌پزشکی\nبریتانیا (GDC) فعالیت دارند و بیش از دو دهه تجربه در حوزه دندان‌پزشکی عمومی و\nزیبایی دارند.\n\n\nویژگی‌های برجسته\n\nدکتر بارز به دلیل تخصص بالا، دقت در درمان و رفتار دوستانه با بیماران شهرت دارد.\nبسیاری از بیماران از کیفیت درمان‌های زیبایی و توانایی ایشان در ایجاد لبخندی\nطبیعی و سالم رضایت داشته‌اند.\n\n\nامکانات و دسترسی‌ها\n\nکلینیک The Dental Gallery در مرکز ایلینگ واقع شده و تنها چند دقیقه پیاده‌روی از\nایستگاه Ealing Broadway فاصله دارد. فضای مدرن کلینیک، تجهیزات به‌روز و محیطی\nآرام، تجربه‌ای راحت برای بیماران فراهم می‌کند.\n\n\nآنچه باید بدانید\n\nدکتر رهام بارز یکی از دندان‌پزشکان برجسته جامعه ایرانی و بین‌المللی در لندن است\nو بیماران فارسی‌زبان نیز می‌توانند به‌راحتی از خدمات ایشان بهره‌مند شوند.\n\n\nآدرس\n\nکلینیک The Dental Gallery به مدیریت دکتر رهام بارز در شماره‌ی 3 The Mall، محله‌ی\nایلبینگ (Ealing)، منطقه‌ی غرب لندن (West London) واقع شده است.,دندانپزشک,02085663194,"The Dental Gallery, 3 The Mall, Ealing, London W5 2PJ, W5 2PJ",Ealing,"https://www.google.com/maps/dir/?api=1&destination=51.5142306,-0.3009835&travelmode=driving",دکتر رهام بارز - دندانپزشک,,,"{""sat"": ""شنبه 09:00 AM - 05:00 PM"", ""sun"": ""یکشنبه تعطیل است"", ""mon"": ""دوشنبه 09:00 AM - 06:00 PM"", ""tue"": ""سه‌شنبه 09:00 AM - 06:00 PM"", ""wed"": ""چهارشنبه 09:00 AM - 06:00 PM"", ""thu"": ""پنجشنبه 09:00 AM - 06:00 PM"", ""fri"": ""جمعه 09:00 AM - 06:00 PM""}",,,,basic,approved,0
iu-00000012,رستوران رز,رستوران رز (Rose Restaurant) یک مقصد محبوب فارسی‌زبانان در محله ساربیتون است که\nبا تمرکز بر غذاهای اصیل ایرانی در محیطی مدرن و دل‌پذیر شهرت زیادی یافته است. این\nرستوران به‌خاطر کباب‌ها و خورشت‌های لذیذ و همچنین فضای صمیمی و خانوادگی مورد\nاستقبال قرار می‌گیرد.\n\n\nخدمات و سرویس‌ها\n\nامکان صرف غذا در محل (Dine-in)، سفارش بیرون‌بر (Takeaway) و تحویل در منزل\n(Delivery) فراهم است. مشتریان می‌توانند به‌صورت مستقیم و آنلاین از طریق وب‌سایت\nرسمی سفارش دهند. رستوران همه‌روزه از ظهر تا حدود ساعت ۱۰ شب فعال است و پرداخت با\nکارت‌های بانکی (Visa/MasterCard) پذیرفته می‌شود.\n\n\nویژگی‌های برجسته\n\nمنوی رستوران شامل کباب‌های تازه، خورشت‌های معطر مانند قورمه‌سبزی، برنج زعفرانی و\nگزینه‌های گیاهی است. فضای بیرونی برای صرف غذا فراهم شده و محیطی گرم و دوستانه\nبرای مهمانی‌ها یا جمع‌های خانوادگی ایجاد می‌کند.\n\n\nامکانات و دسترسی‌ها\n\nاین رستوران در محله سوربیتون قرار دارد و با وسایل حمل‌ونقل عمومی به‌راحتی در\nدسترس است. پذیرش رزرو میز، سرویس‌دهی به جمع‌های بزرگ و ارائه نوشیدنی‌های متنوع\nاز جمله الکل از امکانات مجموعه است.\n\n\nنظرات کاربران\n\nبخش قابل توجهی از مخاطبان در بازخوردهای خود از کیفیت بالای غذاها و طعم اصیل\nایرانی یاد کرده اند و به صورت تکرارشونده به آیتم هایی مانند جوجه کباب، کباب های\nمخلوط، دیزی، خورش ها و کاله پاچه اشاره داشته اند. در نظرات مختلف، به تازه بودن\nمواد اولیه، حجم مناسب پرس ها و نحوه پخت مطلوب برنج و گوشت ها اشاره شده و کاربران\nزیادی فضای گرم، حال و هوای صمیمی، موسیقی و انرژی مثبت محیط را از عوامل تاثیرگذار\nبر تجربه خود دانسته اند. همچنین در بخش زیادی از دیدگاه ها، برخورد دوستانه و توجه\nکارکنان به عنوان یکی از نقاط قوت اصلی مجموعه تکرار شده است.\n\nدر کنار تجربه های مثبت، بعضی از مراجعه کنندگان نیز به تجربه های متفاوت اشاره\nکرده اند. در چند نظر، به هماهنگی کمتر از انتظار در برخی جزئیات مانند یکنواخت\nنبودن طعم بعضی آیتم ها یا برداشت متفاوت از برخی مخلفات اشاره شده و گروهی از\nکاربران به شرایط فصلی مانند سردی ورودی یا محدودیت هایی در برخی گزینه های منو\nاشاره کرده اند که می تواند باعث تجربه ناهماهنگ در بعضی زمان ها شود.\n\nدر جمع بندی، داده های ارائه شده نشان می دهد که رستوران رز برای بسیاری از مشتریان\nبه دلیل کیفیت غذا، فضای پرانرژی و سرویس دوستانه، به عنوان یک انتخاب محبوب شناخته\nمی شود. همزمان، تکرار محدود برخی بازخوردها درباره جزئیات اجرایی یا شرایط محیطی\nبیانگر آن است که سطح رضایت می تواند در برخی موقعیت ها متفاوت باشد، اما تصویر کلی\nهمچنان مثبت باقی می ماند.\n\n\nآنچه باید بدانید\n\nبازخوردها بر کیفیت بالای غذا، حجم مناسب وعده‌ها و سرویس صمیمی کارکنان تأکید\nدارند. یکی از نظرات ثبت‌شده چنین بیان می‌کند:\n\n«رستوران رز تجربه‌ای خوشایند از آشپزی ایرانی ارائه می‌دهد؛ به‌ویژه کباب‌ها و\nخورشت‌هایی مثل قورمه‌سبزی با سرویس دوستانه و حجم سخاوتمندانه غذا همراه است.»\n\n\nآدرس \n\nرستوران رز در محله‌ی ساربیتون (Surbiton)، منطقه‌ی جنوب‌غرب لندن (South-West\nLondon)، در کینگستون (Kingston) واقع شده است.,رستوران,02082870106,"41 Tolworth Broadway, Surbiton KT6 7DJ, KT6 7DJ",Kingston upon Thames,"https://www.google.com/maps/dir/?api=1&destination=51.3809499,-0.2822562&travelmode=driving",رستوران رز,,,"{""sat"": ""شنبه 12:00 PM - 10:00 PM"", ""sun"": ""یکشنبه 12:00 PM - 10:00 PM"", ""mon"": ""دوشنبه 12:00 PM - 10:00 PM"", ""tue"": ""سه‌شنبه 12:00 PM - 10:00 PM"", ""wed"": ""چهارشنبه 12:00 PM - 10:00 PM"", ""thu"": ""پنجشنبه 12:00 PM - 10:00 PM"", ""fri"": ""جمعه 12:00 PM - 10:00 PM""}",,,,basic,approved,0
iu-00000013,لاله ادیب زاده - وکیل,لاله ادیب‌ زاده (Laleh Adibzadeh) وکیل رسمی دادگستری انگلستان و ولز است که تحت\nنظارت سازمان تنظیم مقررات وکلا (Solicitors Regulation Authority) با شماره ثبت\n۶۴۷۷۳۶ فعالیت می‌کند. ایشان به‌عنوان مدیر حقوقی در دفتر Fairland Legal Ltd واقع\nدر خیابان Uxbridge، غرب لندن مشغول به فعالیت هستند.\n\n\n\n\nمهم:\n\nبا توجه به تماس از آفیس خانم ادیب زاده مبنی بر اینکه ایشان خدمات پرسونال اینجری\n(Personal Injury [https://go.londoniha.com/personal-injury-lawyer]) انجام\nنمی‌دهند، لطفا برای این خدمت به این لینک\n[https://go.londoniha.com/personal-injury-lawyer]سر بزنید.\nhttps://go.londoniha.com/personal-injury-lawyer\n[https://go.londoniha.com/personal-injury-lawyer]\nبرای دیگر خدماتی که دفتر حقوقی خانم ادیب زاده انجام می‌دهند از قسمت زیر استفاده\nکنید. \n\n\n \n\n\nخدمات و سرویس‌ها\n\nخانم ادیب‌ زاده در طیف گسترده‌ای از حوزه‌های حقوقی تخصص دارد. خدمات ایشان شامل\nخرید و فروش و لیز تجاری، خرید و فروش املاک مسکونی، قراردادهای تجاری و شخصی، امور\nشرکت‌ها و اختلافات میان سهام‌داران و مدیران عامل، دعاوی مالی و وصول مطالبات،\nاختلافات میان صاحبخانه و مستاجر، پرونده‌های مربوط به طلاق و توافق‌های مالی قبل و\nبعد از ازدواج، حضانت و دیدار فرزند، و همچنین امور مهاجرتی شامل پناهندگی، تمدید\nانواع ویزاها از جمله ویزای ازدواج و ویزای توریستی است. ساعات کاری ایشان از\nدوشنبه تا جمعه بین ساعت ۰۹:۰۰ تا ۱۷:۰۰ می‌باشد.\n\n\nویژگی‌های برجسته\n\nترکیب چند‌حوزه‌ای خدمات حقوقی، از دعاوی ملکی و تجاری تا خانواده و مهاجرت، وجه\nتمایز اصلی لاله ادیب‌زاده است. تسلط کامل به زبان فارسی و انگلیسی، همراه با دقت\nدر پیگیری پرونده‌ها و برخورد صمیمی و حرفه‌ای با موکلان، باعث شده است که ایشان\nجایگاه ویژه‌ای در میان جامعه فارسی‌زبان بریتانیا پیدا کنند.\n\n\nامکانات و دسترسی‌ها\n\nدفتر Fairland Legal Ltd در خیابان Uxbridge در غرب لندن واقع شده است و دسترسی\nبسیار خوبی از طریق ایستگاه‌های اتوبوس و مترو دارد. محیط کاری این دفتر حرفه‌ای،\nامن و مناسب ملاقات حضوری با موکلان است.\n\n\nآنچه باید بدانید\n\nلاله ادیب‌ زاده با تعهد به ارائه مشاوره دقیق، حمایت مستمر و یافتن بهترین\nراهکارهای حقوقی، همراه مطمئنی برای موکلان به‌ویژه فارسی‌زبانان مقیم بریتانیا\nبه‌شمار می‌رود.\n\n\nآدرس\n\nآفیس لاله ادیب زاده در شماره 380 خیابان آکس بریج (Uxbridge Road)، محله ایلینگ\nکامن (Ealing Common)، منطقه غرب لندن (West London) واقع شده است.,وکیل,07710827287,"Suite 1, Fairland House, ‏380 Uxbridge Road, ‏London, W5 3LH, W5 3LH",Ealing,"https://www.google.com/maps/dir/?api=1&destination=51.5096455,-0.2861554&travelmode=driving",لاله ادیب زاده - وکیل,,,"{""sat"": ""شنبه تعطیل است"", ""sun"": ""یکشنبه تعطیل است"", ""mon"": ""دوشنبه 09:00 AM - 05:00 PM"", ""tue"": ""سه‌شنبه 09:00 AM - 05:00 PM"", ""wed"": ""چهارشنبه 09:00 AM - 05:00 PM"", ""thu"": ""پنجشنبه 09:00 AM - 05:00 PM"", ""fri"": ""جمعه 09:00 AM - 05:00 PM""}",,,,basic,approved,0
